,交易所,代码,公司,行业,亮点数目,风险数目
399,SZ,300132,青松股份,化学原料,4,1
400,SZ,2068,黑猫股份,化学原料,0,4
401,SZ,300821,东岳硅材,化学原料,0,4
402,SZ,691,亚太实业,住宅地产开发和管理,0,8
403,SH,600589,广东榕泰,化学原料,0,7
404,SZ,839,中信国安,传媒,1,7
405,SZ,300269,联建光电,传媒,0,10
406,SH,600638,新黄浦,住宅地产开发和管理,0,3
407,SZ,2959,小熊电器,家用电器,6,1
408,SZ,300133,华策影视,传媒,3,3
409,SZ,892,欢瑞世纪,传媒,0,12
410,SZ,300182,捷成股份,传媒,2,6
411,SZ,300107,建新股份,化学原料,2,1
412,SH,600358,*ST联合,传媒,1,13
413,SZ,2027,分众传媒,传媒,5,2
414,SZ,300343,联创股份,传媒,1,10
415,SH,603379,三美股份,化学原料,2,3
416,SZ,2269,美邦服饰,服装与配饰,1,9
417,SZ,720,新能泰山,工业地产开发和管理,1,6
418,SZ,300336,新文化,传媒,1,7
419,SZ,2453,华软科技,化学原料,1,6
420,SZ,2426,*ST胜利,家用电器,1,8
421,SZ,2739,万达电影,传媒,1,3
422,SZ,300027,华谊兄弟,传媒,1,8
423,SZ,502,绿景控股,住宅地产开发和管理,0,7
424,SH,600239,云南城投,住宅地产开发和管理,0,5
425,SH,603598,引力传媒,传媒,0,8
426,SZ,2473,ST圣莱,家用电器,0,14
427,SH,600576,祥源文化,传媒,0,8
428,SH,600225,*ST松江,住宅地产开发和管理,1,14
429,SH,603555,*ST贵人,服装与配饰,0,12
430,SZ,802,北京文化,传媒,0,10
431,SZ,2681,*ST奋达,家用电器,1,9
432,SH,600687,*ST刚泰,服装与配饰,0,11
433,SZ,2445,*ST中南,传媒,0,12
434,SH,600086,*ST金钰,服装与配饰,0,15
435,SZ,2147,*ST新光,商业地产开发和管理,1,11
436,SH,603157,*ST拉夏,服装与配饰,1,11
437,SZ,2656,ST摩登,服装与配饰,0,8
438,SZ,673,*ST当代,传媒,0,14
439,SH,600651,*ST飞乐,家用电器,0,10
440,SZ,587,*ST金洲,服装与配饰,0,14
441,SZ,2076,*ST雪莱,家用电器,0,13
442,SH,603996,*ST中新,家用电器,1,14
443,SZ,2071,*ST长城,传媒,1,12
444,SH,600634,*ST富控,计算机软件,2,10
445,SH,600877,ST电能,电气部件与设备,1,7
446,SZ,868,ST安凯,汽车,0,9
447,SZ,300552,万集科技,计算机软件,4,0
448,SZ,300315,掌趣科技,计算机软件,3,1
449,SZ,2279,久其软件,计算机软件,1,7
450,SZ,2354,*ST天娱,计算机软件,0,12
451,SZ,572,ST海马,汽车,1,9
452,SH,600166,福田汽车,汽车,2,5
453,SZ,2766,*ST索菱,计算机软件,1,12
454,SZ,2555,三七互娱,计算机软件,7,0
455,SZ,300508,维宏股份,计算机软件,0,3
456,SZ,2987,京北方,计算机软件,2,1
457,SH,600418,江淮汽车,汽车,1,3
458,SZ,300418,昆仑万维,计算机软件,2,1
459,SZ,300559,佳发教育,计算机软件,6,0
460,SH,600303,曙光股份,汽车,0,9
461,SH,600588,用友网络,计算机软件,2,3
462,SZ,300348,长亮科技,计算机软件,2,1
463,SZ,913,钱江摩托,汽车,3,3
464,SH,603129,春风动力,汽车,6,2
465,SZ,300229,拓尔思,计算机软件,4,3
466,SH,600571,信雅达,计算机软件,0,4
467,SZ,2602,世纪华通,计算机软件,4,2
468,SH,603189,网达软件,计算机软件,2,2
469,SZ,300235,方直科技,计算机软件,0,2
470,SZ,300451,创业慧康,计算机软件,2,1
471,SZ,300036,超图软件,计算机软件,2,1
472,SZ,300468,四方精创,计算机软件,1,2
473,SZ,2230,科大讯飞,计算机软件,2,1
474,SZ,300440,运达科技,计算机软件,0,3
475,SZ,300378,鼎捷软件,计算机软件,3,1
476,SZ,300052,中青宝,计算机软件,0,5
477,SH,600845,宝信软件,计算机软件,6,2
478,SH,601965,中国汽研,汽车,4,2
479,SH,603039,泛微网络,计算机软件,4,1
480,SZ,300380,安硕信息,计算机软件,1,2
481,SZ,300253,卫宁健康,计算机软件,1,1
482,SZ,300379,东方通,计算机软件,2,6
483,SZ,997,新大陆,计算机软件,1,1
484,SH,600099,林海股份,汽车,0,5
485,SZ,550,江铃汽车,汽车,3,1
486,SZ,2063,远光软件,计算机软件,0,0
487,SZ,1696,宗申动力,汽车,4,1
488,SZ,2401,中远海科,计算机软件,1,3
489,SH,600686,金龙汽车,汽车,0,4
490,SZ,300075,数字政通,计算机软件,0,1
491,SZ,300830,金现代,计算机软件,0,4
492,SH,603528,多伦科技,计算机软件,3,3
493,SZ,300663,科蓝软件,计算机软件,0,4
494,SZ,300043,星辉娱乐,计算机软件,1,2
495,SZ,2253,川大智胜,计算机软件,0,1
496,SZ,957,中通客车,汽车,0,5
497,SZ,300550,和仁科技,计算机软件,1,3
498,SZ,300730,科创信息,计算机软件,0,8
499,SH,603444,吉比特,计算机软件,6,1
500,SH,600213,亚星客车,汽车,0,7
501,SH,603636,南威软件,计算机软件,1,3
502,SH,600718,东软集团,计算机软件,0,2
503,SZ,300031,宝通科技,计算机软件,3,1
504,SZ,300085,银之杰,计算机软件,1,5
505,SZ,300561,汇金科技,计算机软件,1,7
506,SH,603232,格尔软件,计算机软件,2,3
507,SZ,300365,恒华科技,计算机软件,3,1
508,SZ,2405,四维图新,计算机软件,1,4
509,SH,600733,北汽蓝谷,汽车,1,7
510,SH,601633,长城汽车,汽车,4,1
511,SZ,2425,凯撒文化,计算机软件,4,2
512,SH,600006,东风汽车,汽车,1,3
513,SZ,800,一汽解放,汽车,3,4
514,SZ,2594,比亚迪,汽车,3,3
515,SZ,2153,石基信息,计算机软件,2,1
516,SH,603990,麦迪科技,计算机软件,0,4
517,SZ,2065,东华软件,计算机软件,1,2
518,SZ,2558,巨人网络,计算机软件,1,2
519,SH,600066,宇通客车,汽车,4,1
520,SZ,300768,迪普科技,计算机软件,1,2
521,SZ,300352,北信源,计算机软件,0,3
522,SH,688228,开普云,计算机软件,0,2
523,SZ,300047,天源迪科,计算机软件,2,2
524,SZ,300525,博思软件,计算机软件,2,1
525,SZ,300454,深信服,计算机软件,5,1
526,SZ,300588,熙菱信息,计算机软件,0,8
527,SH,688066,航天宏图,计算机软件,2,3
528,SZ,2624,完美世界,计算机软件,5,1
529,SZ,300624,万兴科技,计算机软件,6,1
530,SH,603927,中科软,计算机软件,3,2
531,SH,600104,上汽集团,汽车,3,2
532,SZ,2410,广联达,计算机软件,4,2
533,SH,603766,隆鑫通用,汽车,3,4
534,SH,600609,金杯汽车,汽车,2,6
535,SZ,300081,恒信东方,计算机软件,0,6
536,SH,600139,西部资源,汽车,0,11
537,SH,601238,广汽集团,汽车,1,4
538,SH,601127,小康股份,汽车,0,2
539,SH,688078,龙软科技,计算机软件,0,4
540,SZ,625,长安汽车,汽车,3,1
541,SH,688039,当虹科技,计算机软件,2,5
542,SH,688118,普元信息,计算机软件,0,5
543,SH,688030,山石网科,计算机软件,1,2
544,SH,600756,浪潮软件,计算机软件,0,2
545,SH,688369,致远互联,计算机软件,3,2
546,SZ,2168,惠程科技,计算机软件,3,3
547,SH,688088,虹软科技,计算机软件,2,1
548,SH,688111,金山办公,计算机软件,5,2
549,SZ,2174,游族网络,计算机软件,2,3
550,SH,600892,*ST大晟,计算机软件,0,10
551,SZ,300518,盛讯达,计算机软件,1,7
552,SH,688058,宝兰德,计算机软件,2,5
553,SZ,300359,全通教育,计算机软件,0,8
554,SZ,300168,万达信息,计算机软件,2,9
